tail_probability,tail_visibility,probability_error,impact_error,value_shift,negative_impact_confidence,method,cases,mean_true_value,mean_regret,p90_regret,harmful_choice_rate,catastrophe_exposure,affected_harm_rate,baseline_selection_rate,certification_rate,certified_nonoracle_rate,certified_harmful_rate
0.0,omitted,0.0,15.0,0.0,0.4,oracle_expected,1000,18.69505922262041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,0.4,baseline,1000,0.0,18.69505922262041,27.455071196164724,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,0.4,declared_raw,1000,17.661010893588237,1.034048329032172,4.149384714611237,0.0,0.0,0.0,0.019,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,0.4,confidence_shrink,1000,18.174629730368842,0.5204294922515699,0.8698205531755019,0.0,0.0,0.0,0.007,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,0.4,minimax_regret,1000,17.690778579746343,1.0042806428740634,4.0443084090674795,0.0,0.0,0.0,0.017,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.0,0.4,robustness_gate,1000,16.4027768095935,2.2922824130269044,10.97544585265506,0.0,0.0,0.0,0.147,0.853,0.06,0.0
0.0,omitted,0.0,15.0,0.5,1.0,oracle_expected,1000,18.952917530976677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,1.0,baseline,1000,0.0,18.952917530976677,27.53183582335593,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,1.0,declared_raw,1000,16.998576284990417,1.9543412459862592,8.287215715122526,0.0,0.0,0.0,0.048,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,1.0,confidence_shrink,1000,16.998576284990417,1.9543412459862592,8.287215715122526,0.0,0.0,0.0,0.048,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,1.0,minimax_regret,1000,16.98108752049695,1.971830010479724,8.535587608669303,0.0,0.0,0.0,0.048,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,1.0,robustness_gate,1000,14.188084483465692,4.764833047510982,17.216095555073522,0.0,0.0,0.0,0.251,0.749,0.114,0.0
0.0,omitted,0.0,15.0,0.5,0.4,oracle_expected,1000,18.34029674123821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,0.4,baseline,1000,0.0,18.34029674123821,26.66532025874838,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,0.4,declared_raw,1000,16.424904587339167,1.9153921538990442,8.634517717749382,0.0,0.0,0.0,0.051,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,0.4,confidence_shrink,1000,17.387172157751145,0.9531245834870642,2.8390156521832877,0.0,0.0,0.0,0.018,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,0.4,minimax_regret,1000,16.407193167351103,1.9331035738871059,8.705480511073548,0.0,0.0,0.0,0.053,0.0,0.0,0.0
0.0,omitted,0.0,15.0,0.5,0.4,robustness_gate,1000,14.820575658048199,3.519721083190009,15.124558711048536,0.0,0.0,0.0,0.21,0.79,0.071,0.0
0.0,omitted,0.15,0.0,0.0,1.0,oracle_expected,1000,18.652986113529494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,1.0,baseline,1000,0.0,18.652986113529494,27.478289754263574,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,1.0,declared_raw,1000,18.59517076751925,0.05781534601024333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,1.0,confidence_shrink,1000,18.59517076751925,0.05781534601024333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,1.0,minimax_regret,1000,18.59834605942308,0.054640054106414516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,1.0,robustness_gate,1000,16.60146258275125,2.0515235307782427,10.714673866622098,0.0,0.0,0.0,0.185,0.815,0.003,0.0
0.0,omitted,0.15,0.0,0.0,0.4,oracle_expected,1000,18.667810854008454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,0.4,baseline,1000,0.0,18.667810854008454,26.955276583250004,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,0.4,declared_raw,1000,18.62291715774872,0.04489369625973176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,0.4,confidence_shrink,1000,18.53914881770471,0.1286620363037434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,0.4,minimax_regret,1000,18.6319479277825,0.035862926225950005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.0,0.4,robustness_gate,1000,18.15639940150625,0.5114114525022025,0.0,0.0,0.0,0.0,0.048,0.952,0.038,0.0
0.0,omitted,0.15,0.0,0.5,1.0,oracle_expected,1000,18.756604509087467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,1.0,baseline,1000,0.0,18.756604509087467,27.939395603434026,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,1.0,declared_raw,1000,18.448922851830343,0.3076816572571204,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,1.0,confidence_shrink,1000,18.448922851830343,0.3076816572571204,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,1.0,minimax_regret,1000,18.444299376039634,0.31230513304782953,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,1.0,robustness_gate,1000,16.018020490303726,2.738584018783738,12.358720818222537,0.0,0.0,0.0,0.211,0.789,0.012,0.0
0.0,omitted,0.15,0.0,0.5,0.4,oracle_expected,1000,18.769894117505643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,0.4,baseline,1000,0.0,18.769894117505643,27.023762629857398,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,omitted,0.15,0.0,0.5,0.4,declared_raw,1000,18.362198617013576,0.4076955004920665,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0
