regime,case,method,action,net_utility,regret,outcome_lower_tail_mean,severe_loss_probability,worst_group_expected_score,predicted_net_utility,latent_brier,false_low_risk,baseline,cost,steps,planner_nodes
matched,16,sequential,general,9.181226317415005,4.281795460120545,-2.8644727186245844,0.01,3.5429004677725136,6.826892203464862,0.012342505403148374,0,0,4.281795460120545,2,8
matched,17,stop,mechanism_repair,-0.1192390037197138,10.382413010630945,-10.573482739483016,0.01,-3.6992823443164085,2.817224974503761,0.5505271119500055,0,0,0.0,0,0
matched,17,fixed,general,7.106504790721031,3.156669216190199,-2.1836540440236663,0.01,2.7008352649766394,2.03581703380231,0.14803766758186207,0,0,3.156669216190199,2,0
matched,17,random,general,8.709717821774273,1.553456185136957,-2.1836540440236663,0.01,2.7008352649766394,2.8573963714314483,0.1716095809649744,0,0,1.5534561851369566,2,0
matched,17,entropy,general,8.709717821774273,1.553456185136957,-2.1836540440236663,0.01,2.7008352649766394,2.8573963714314483,0.17160958096497433,0,0,1.5534561851369566,2,0
matched,17,myopic,mechanism_repair,-0.5688420412057649,10.832016048116994,-10.573482739483016,0.01,-3.6992823443164085,4.557032093326108,0.43628079946714365,0,0,0.4496030374860511,1,2
matched,17,sequential,mechanism_repair,-0.5688420412057649,10.832016048116994,-10.573482739483016,0.01,-3.6992823443164085,4.557032093326108,0.43628079946714365,0,0,0.4496030374860511,1,8
matched,18,stop,mechanism_repair,-7.914846770987465,26.481306931425486,-89.45989806589044,0.08,-9.463915532233674,5.46839968411761,0.7699402807342081,0,0,0.0,0,0
matched,18,fixed,source_repair,16.14628638238484,2.420173778053183,-2.165871216332085,0.01,2.095244981016908,13.220746243273469,0.022177794173196215,0,0,2.4201737780531842,2,0
matched,18,random,source_repair,16.317798852121175,2.248661308316848,-2.165871216332085,0.01,2.095244981016908,8.523845572294768,0.1559654027499211,0,0,2.2486613083168487,2,0
matched,18,entropy,source_repair,16.317798852121175,2.248661308316848,-2.165871216332085,0.01,2.095244981016908,8.523845572294768,0.1559654027499211,0,0,2.2486613083168487,2,0
matched,18,myopic,source_repair,18.31482005459465,0.2516401058433715,-2.165871216332085,0.01,2.095244981016908,14.818171167115533,0.03459092294159686,0,0,0.2516401058433718,1,2
matched,18,sequential,source_repair,18.31482005459465,0.2516401058433715,-2.165871216332085,0.01,2.095244981016908,14.818171167115533,0.03459092294159686,0,0,0.2516401058433718,1,8
matched,19,stop,mechanism_repair,20.760132893456994,0.0,-1.1819314184390195,0.01,0.9726310630904418,3.993077652173243,0.713919557214556,0,0,0.0,0,0
matched,19,fixed,mechanism_repair,16.532027375405416,4.228105518051578,-1.1819314184390195,0.01,0.9726310630904418,10.970364854498014,0.06915244928121417,0,0,4.228105518051578,2,0
matched,19,random,mechanism_repair,16.532027375405416,4.228105518051578,-1.1819314184390195,0.01,0.9726310630904418,10.970364854498014,0.06915244928121417,0,0,4.228105518051578,2,0
matched,19,entropy,source_repair,-11.094664094208884,31.85479698766588,-93.56957062642223,0.08,-11.031359905430833,9.675192882870618,1.0694796835473737,0,0,1.6835351748882035,2,0
matched,19,myopic,source_repair,-11.094664094208884,31.85479698766588,-93.56957062642223,0.08,-11.031359905430833,9.675192882870618,1.0694796835473737,0,0,1.6835351748882035,2,2
matched,19,sequential,source_repair,-11.094664094208884,31.85479698766588,-93.56957062642223,0.08,-11.031359905430833,9.675192882870618,1.0694796835473737,0,0,1.6835351748882035,2,8
matched,20,stop,source_repair,1.0367965371864578,16.94105409791077,-17.514815288392594,0.01,-5.234312614921924,4.35881263107438,0.46402313763076236,0,0,0.0,0,0
matched,20,fixed,general,14.28153842861456,3.6963122064826663,-3.8250746032121774,0.01,4.731013325025586,5.611976436678075,0.10906948927127033,0,0,3.6963122064826663,2,0
matched,20,random,general,13.60205862912511,4.375792005972116,-3.8250746032121774,0.01,4.731013325025586,3.4727467711004483,0.13077889770522055,0,0,4.375792005972117,2,0
matched,20,entropy,general,14.28153842861456,3.6963122064826663,-3.8250746032121774,0.01,4.731013325025586,5.611976436678075,0.10906948927127033,0,0,3.6963122064826663,2,0
matched,20,myopic,general,13.065451726223888,4.912398908873339,-3.8250746032121774,0.01,4.731013325025586,2.678051903491407,0.13433176772692831,0,0,4.912398908873338,2,2
matched,20,sequential,general,14.28153842861456,3.6963122064826663,-3.8250746032121774,0.01,4.731013325025586,5.611976436678077,0.10906948927127028,0,0,3.6963122064826663,2,8
matched,21,stop,source_repair,-6.510019902094135,20.870558309879495,-64.72547260062196,0.08,-7.630792559231221,3.4650508423073996,1.227641947820984,0,0,0.0,0,0
matched,21,fixed,mechanism_repair,10.645836406734446,3.714702001050913,-0.8175849170604899,0.01,0.6728042546643599,0.70328709141923,0.5564027557108078,0,0,3.714702001050914,2,0
matched,21,random,mechanism_repair,10.3053861280884,4.055152279696959,-0.8175849170604899,0.01,0.6728042546643599,0.3870765518167172,0.7968276034755783,0,0,4.055152279696959,2,0
matched,21,entropy,mechanism_repair,10.645836406734446,3.714702001050913,-0.8175849170604899,0.01,0.6728042546643599,0.70328709141923,0.5564027557108078,0,0,3.714702001050914,2,0
matched,21,myopic,source_repair,-8.129190858304415,22.489729266089775,-64.72547260062196,0.08,-7.630792559231221,4.535573545406359,0.9557897392198134,0,0,1.6191709562102803,1,2
matched,21,sequential,source_repair,-8.129190858304415,22.489729266089775,-64.72547260062196,0.08,-7.630792559231221,4.535573545406359,0.9557897392198134,0,0,1.6191709562102803,1,8
matched,22,stop,source_repair,19.144624857638107,0.0,-2.2333170441928663,0.01,2.160491488403971,4.526423271129456,0.625732911728391,0,0,0.0,0,0
matched,22,fixed,source_repair,16.509532036072017,2.63509282156609,-2.2333170441928663,0.01,2.160491488403971,8.918611464794111,0.13968134489111728,0,0,2.63509282156609,2,0
matched,22,random,source_repair,16.509532036072017,2.63509282156609,-2.2333170441928663,0.01,2.160491488403971,8.918611464794111,0.13968134489111728,0,0,2.63509282156609,2,0
matched,22,entropy,source_repair,17.20774114802629,1.9368837096118163,-2.2333170441928663,0.01,2.160491488403971,12.72699708901013,0.08700396588798154,0,0,1.936883709611816,2,0
matched,22,myopic,source_repair,17.20774114802629,1.9368837096118163,-2.2333170441928663,0.01,2.160491488403971,12.726997089010132,0.08700396588798148,0,0,1.936883709611816,2,2
matched,22,sequential,source_repair,17.20774114802629,1.9368837096118163,-2.2333170441928663,0.01,2.160491488403971,12.726997089010132,0.08700396588798148,0,0,1.936883709611816,2,8
matched,23,stop,mechanism_repair,-6.501982683451058,21.754179718857593,-73.49058357261755,0.08,-7.774530156892699,5.232555084635724,0.8954836263197212,0,0,0.0,0,0
matched,23,fixed,mechanism_repair,-10.889218040116903,26.14141507552344,-73.49058357261755,0.08,-7.774530156892699,5.319920798731649,1.1282377331889815,0,0,4.387235356665845,2,0
matched,23,random,source_repair,9.860667031516245,5.39153000389029,-1.779245707547581,0.01,1.7212268257797267,4.2940759445676715,0.18245678740008003,0,0,5.39153000389029,2,0
matched,23,entropy,source_repair,9.860667031516245,5.39153000389029,-1.779245707547581,0.01,1.7212268257797267,4.29407594456767,0.18245678740008014,0,0,5.39153000389029,2,0
matched,23,myopic,source_repair,9.860667031516245,5.39153000389029,-1.779245707547581,0.01,1.7212268257797267,4.29407594456767,0.18245678740008014,0,0,5.39153000389029,2,2
matched,23,sequential,source_repair,9.860667031516245,5.39153000389029,-1.779245707547581,0.01,1.7212268257797267,4.29407594456767,0.18245678740008014,0,0,5.39153000389029,2,8
matched,24,stop,source_repair,0.7172456724617307,11.71965501702032,-12.1165773794506,0.01,-3.62104611339903,4.681294364828526,0.6831965954381032,0,0,0.0,0,0
matched,24,fixed,general,9.58256031625086,2.8543403732311923,-2.646149082868523,0.01,3.272868602495277,3.327576465901313,0.11510125785004889,0,0,2.8543403732311927,2,0
matched,24,random,source_repair,-2.4142768960727885,14.85117758555484,-12.1165773794506,0.01,-3.62104611339903,1.094155610886462,0.2102753594138165,0,0,3.1315225685345194,2,0
matched,24,entropy,general,9.699056065543026,2.7378446239390257,-2.646149082868523,0.01,3.272868602495277,0.5413257317504745,0.21784861401018063,0,0,2.737844623939025,2,0
matched,24,myopic,general,9.58256031625086,2.8543403732311923,-2.646149082868523,0.01,3.272868602495277,3.3275764659013114,0.11510125785004895,0,0,2.8543403732311927,2,2
matched,24,sequential,general,9.58256031625086,2.8543403732311923,-2.646149082868523,0.01,3.272868602495277,3.3275764659013114,0.11510125785004895,0,0,2.8543403732311927,2,8
matched,25,stop,mechanism_repair,17.42787085952335,0.0,-0.9922165831539775,0.01,0.8165115632204627,5.781638910171469,0.4588008735937061,0,0,0.0,0,0
matched,25,fixed,mechanism_repair,13.925225058993423,3.502645800529926,-0.9922165831539775,0.01,0.8165115632204627,7.694042918475972,0.13853410526992424,0,0,3.502645800529926,2,0
matched,25,random,mechanism_repair,15.666323704692449,1.7615471548309003,-0.9922165831539775,0.01,0.8165115632204627,2.554875296607346,0.7618061032396873,0,0,1.7615471548308996,2,0
matched,25,entropy,mechanism_repair,15.666323704692449,1.7615471548309003,-0.9922165831539775,0.01,0.8165115632204627,2.554875296607346,0.7618061032396873,0,0,1.7615471548308996,2,0
matched,25,myopic,mechanism_repair,16.393399282440832,1.0344715770825168,-0.9922165831539775,0.01,0.8165115632204627,7.8791356050889005,0.3212456815594475,0,0,1.034471577082518,1,2
matched,25,sequential,mechanism_repair,15.666323704692449,1.7615471548309003,-0.9922165831539775,0.01,0.8165115632204627,2.554875296607346,0.7618061032396873,0,0,1.7615471548308996,2,8
matched,26,stop,source_repair,16.891784683720722,0.0,-1.9705118758667428,0.01,1.9062560538276097,6.596866734251232,0.4177559987039966,0,0,0.0,0,0
matched,26,fixed,source_repair,15.638580097676096,1.2532045860446264,-1.9705118758667428,0.01,1.9062560538276097,12.452835513414247,0.03176747184261105,0,0,1.253204586044626,2,0
matched,26,random,source_repair,13.725984821682875,3.165799862037847,-1.9705118758667428,0.01,1.9062560538276097,8.665978118911804,0.08968516444749951,0,0,3.165799862037847,2,0
matched,26,entropy,source_repair,15.638580097676096,1.2532045860446264,-1.9705118758667428,0.01,1.9062560538276097,12.452835513414247,0.03176747184261105,0,0,1.253204586044626,2,0
