groups,max_duplicates,rho,signal_strength,trials,method,brier,brier_mcse,log_loss,log_loss_mcse,accuracy,ece,confidently_wrong,sharpness
3,4,0.75,0.25,2500,conservative,0.20132659056564434,0.00309502804065558,0.5882751810250181,0.006915743886811702,0.6884,0.028295623413668775,0.0004,0.16010437658633123
3,4,0.75,0.25,2500,naive,0.21468108153606807,0.005531072017709172,0.6679348598542058,0.017651713739451003,0.6968,0.10341030707120906,0.064,0.29401944800766716
3,4,0.75,0.25,2500,one_per_group,0.2045535561905336,0.003264742794386675,0.5953837006428289,0.00736979465230339,0.6816,0.017892766751425173,0.0012,0.16685165890104006
3,4,0.75,0.75,2500,oracle,0.058785576839339625,0.0033731709282284984,0.20091779204951002,0.010568553997843604,0.9228,0.012317816779748317,0.0184,0.42023286425227496
3,4,0.75,0.75,2500,estimated,0.059633253477559836,0.0034067137775333216,0.2031920747682749,0.010674093701546624,0.9212,0.014675254278261288,0.0184,0.4201992935130385
3,4,0.75,0.75,2500,conservative,0.05951945797772114,0.003215653564823976,0.20330336676517413,0.009494088969956693,0.9212,0.019487742121145703,0.0148,0.40714477760619244
3,4,0.75,0.75,2500,naive,0.07292669528231224,0.00451624379905903,0.32724452463720516,0.024766568937548143,0.9112,0.05297316774052426,0.0484,0.4616484529846542
3,4,0.75,0.75,2500,one_per_group,0.06714516728456575,0.0034894437845156214,0.2249750587666302,0.010462562129878348,0.9132,0.01454800340380011,0.0172,0.40632575500383156
3,4,0.95,0.25,2500,oracle,0.20396504506243926,0.0033679298245325217,0.5939076667578386,0.007680890936791005,0.6872,0.018607165303875572,0.0008,0.17232915823861916
3,4,0.95,0.25,2500,estimated,0.20378994666306366,0.003418497725138616,0.5932606407962482,0.00783121599160145,0.6856,0.01628532682855132,0.0016,0.1755721096406013
3,4,0.95,0.25,2500,conservative,0.20403688882286042,0.003309925357979448,0.5941294220114914,0.007513123042503546,0.6872,0.018915627074538675,0.0008,0.16906118575246531
3,4,0.95,0.25,2500,naive,0.23186863732142124,0.005803045078307384,0.7246901284918565,0.019412915718560887,0.6644,0.1383537527488287,0.0756,0.30182905364493945
3,4,0.95,0.25,2500,one_per_group,0.20510459020434132,0.0033370493964130937,0.5964513813109138,0.007587835918153965,0.682,0.016692132453460375,0.0008,0.17000547469992025
3,4,0.95,0.75,2500,oracle,0.07242995630793139,0.003568797935291002,0.23703789730601998,0.010888892813846076,0.8988,0.018019402455832962,0.014,0.4045849089531693
3,4,0.95,0.75,2500,estimated,0.07273603307740735,0.003624855676365408,0.23856039364334192,0.011221226585110308,0.8992,0.01572392644460874,0.014,0.4073732080147712
3,4,0.95,0.75,2500,conservative,0.0722495835406295,0.0035298183595836473,0.23649096749828818,0.010644746777005092,0.8976,0.020713270805085126,0.0136,0.4021796513319344
3,4,0.95,0.75,2500,naive,0.09926765330226002,0.005276624309152216,0.4667100382847974,0.03156558179668077,0.88,0.0797142453558498,0.0704,0.45861958456671453
3,4,0.95,0.75,2500,one_per_group,0.07461778079062927,0.0036431463853383657,0.2440171462795175,0.01101818650605871,0.8952,0.019191032154233133,0.0156,0.4027422849992546
3,8,0.0,0.25,2500,oracle,0.13098306295242745,0.004149780504697987,0.4079389390938616,0.01141735322529575,0.8136,0.015791703628344995,0.0156,0.316841937784255
3,8,0.0,0.25,2500,estimated,0.13612246231083744,0.0039595607247201944,0.42295162030022454,0.01049294497264179,0.8028,0.02337864611482544,0.0128,0.2940472695229757
3,8,0.0,0.25,2500,conservative,0.184921175746765,0.0019878475613442394,0.5565623413734023,0.004252158268604933,0.7768,0.15928188186225603,0.0,0.11751811813774393
3,8,0.0,0.25,2500,naive,0.13098306295242745,0.004149780504697987,0.4079389390938616,0.01141735322529575,0.8136,0.015791703628344995,0.0156,0.316841937784255
3,8,0.0,0.25,2500,one_per_group,0.21240525554537912,0.003349075707929373,0.6124560784728259,0.007594100866924644,0.6632,0.01695603208294333,0.0008,0.16659771484179142
3,8,0.0,0.75,2500,oracle,0.005378686235645383,0.0011759903264302709,0.019306743702787746,0.004014449366616436,0.994,0.003205599914677491,0.0028,0.49417104451306615
3,8,0.0,0.75,2500,estimated,0.005452471712880538,0.0011793741264529598,0.020478369394093702,0.004004223365994476,0.9944,0.0029607533945086185,0.0028,0.49298153928693184
3,8,0.0,0.75,2500,conservative,0.017042118931572186,0.0012865925454887226,0.08486514468759422,0.0036235364212146774,0.9848,0.05111111139034337,0.0008,0.4341538965213318
3,8,0.0,0.75,2500,naive,0.005378686235645383,0.0011759903264302709,0.019306743702787746,0.004014449366616436,0.994,0.003205599914677491,0.0028,0.49417104451306615
